Entity,Code,Food expenditure,Total consumer expenditure,name,alpha-3,country-code,country_code,country,annual_cost_healthy_diet_usd,Total consumer expenditure w healthy diet,Country Code,2023,Affordability,Cost Category
Angola,AGO,50.01461,1274.9341,Angola,AGO,24.0,24.0,Angola,1722.8,2360.08078212799,AGO,9020.0,3.821903075651092,Moderate
United Arab Emirates,ARE,12.225459,24381.51,United Arab Emirates,ARE,784.0,784.0,United Arab Emirates,1135.15,22535.9084913691,ARE,80140.0,3.5561024766626277,Moderate
Australia,AUS,9.905157,34064.94,Australia,AUS,36.0,36.0,Australia,1131.5,31822.254211044205,AUS,69080.0,2.1708078736931578,Not Affordable
Austria,AUT,10.055154,29143.605,Austria,AUT,40.0,40.0,Austria,1062.15,27275.320636098302,AUT,73570.0,2.697310179467943,Not Affordable
Azerbaijan,AZE,42.70742,3798.6196,Azerbaijan,AZE,31.0,31.0,Azerbaijan,1507.45,3683.7771732256797,AZE,22660.0,6.151294971014192,Affordable
Belgium,BEL,12.174075,26374.342,Belgium,BEL,56.0,56.0,Belgium,1011.05,24174.559824163498,BEL,72940.0,3.017221431560188,Moderate
Bangladesh,BGD,52.775024,1724.011,Bangladesh,BGD,50.0,50.0,Bangladesh,1580.45,2394.61378098736,BGD,9510.0,3.9714128748055506,Moderate
Bulgaria,BGR,20.728756,9736.728,Bulgaria,BGR,100.0,100.0,Bulgaria,1883.4,9601.82541049632,BGR,36930.0,3.8461436676019587,Moderate
Bahrain,BHR,13.583627,10346.712,Bahrain,BHR,48.0,48.0,Bahrain,1503.8,10445.05323515576,BHR,60550.0,5.797002527110343,Affordable
Bosnia and Herzegovina,BIH,32.1488,5827.1304,Bosnia And Herzegovina,BIH,70.0,70.0,Bosnia and Herzegovina,2171.75,6125.527901964801,BIH,23260.0,3.797223744999874,Moderate
Belarus,BLR,29.479084,4457.285,Belarus,BLR,112.0,112.0,Belarus,1357.8000000000002,4501.1182107305995,BLR,29830.0,6.6272420770655875,Affordable
Bolivia,BOL,29.263062,2594.584,Bolivia,BOL,68.0,68.0,Bolivia (Plurinational State of),1668.0500000000002,3503.37927543792,BOL,12580.0,3.590818752682011,Moderate
Brazil,BRA,16.220968,6322.405,Brazil,BRA,76.0,76.0,Brazil,1660.75,6957.599708119599,BRA,20500.0,2.9464184287687982,Moderate
Canada,CAN,9.656434,28739.568,Canada,CAN,124.0,124.0,Canada,1558.55,27522.90058419488,CAN,63090.0,2.2922729312996046,Not Affordable
Switzerland,CHE,9.001141,49436.02,Switzerland,CHE,756.0,756.0,Switzerland,1098.65,46084.8641350118,CHE,87730.0,1.9036618995552028,Not Affordable
Chile,CHL,19.436594,10137.71,Chile,CHL,152.0,152.0,Chile,1839.6,10006.8844664026,CHL,31720.0,3.1698177496200377,Moderate
China,CHN,21.226562,4705.762,China,CHN,156.0,156.0,"China, mainland",1288.4499999999998,4995.340511497559,CHN,24990.0,5.002661969185403,Affordable
Cote d'Ivoire,CIV,37.74478,1743.6252,CÃ´te d'Ivoire,CIV,384.0,384.0,Côte d'Ivoire,1259.25,2344.74770423544,CIV,6960.0,2.968336417358588,Moderate
Cameroon,CMR,45.825108,1256.4084,Cameroon,CMR,120.0,120.0,Cameroon,1533.0,2213.657893778928,CMR,5300.0,2.3942272267520015,Not Affordable
Colombia,COL,20.622913,5270.638,Colombia,COL,170.0,170.0,Colombia,1711.85,5895.52891071506,COL,20700.0,3.5111353558758696,Moderate
Costa Rica,CRI,21.311459,11625.401,Costa Rica,CRI,188.0,188.0,Costa Rica,1649.8,10797.65843229941,CRI,26900.0,2.4912808798927273,Not Affordable
Czechia,CZE,15.65828,15011.804,Czech Republic,CZE,203.0,203.0,Czechia,1332.25,13993.4636966288,CZE,54960.0,3.92754797464766,Moderate
Germany,DEU,11.5981,26844.504,Germany,DEU,276.0,276.0,Germany,1419.85,25150.901581576,DEU,74200.0,2.9501924517232556,Moderate
Denmark,DNK,11.850251,31448.684,Denmark,DNK,208.0,208.0,Denmark,1073.1,28795.03600980316,DNK,80110.0,2.7820767431138775,Moderate
Dominican Republic,DOM,28.072994,7560.9067,Dominican Republic,DOM,214.0,214.0,Dominican Republic,1901.65,7339.983815763402,DOM,24670.0,3.361042833230576,Moderate
Algeria,DZA,37.160736,2111.6646,Algeria,DZA,12.0,12.0,Algeria,1974.65,3301.604492788544,DZA,16580.0,5.021800774809488,Affordable
Ecuador,ECU,25.85449,4297.237,Ecuador,ECU,218.0,218.0,Ecuador,1251.95,4438.1582895587,ECU,15550.0,3.5037055881001904,Moderate
Egypt,EGY,36.850838,2666.8105,Egypt,EGY,818.0,818.0,Egypt,2175.4,3859.46848287801,EGY,17710.0,4.58871476177819,Affordable
Spain,ESP,12.904854,19464.68,Spain,ESP,724.0,724.0,Spain,1397.95,18350.741464432802,ESP,55410.0,3.019496520475482,Moderate
Estonia,EST,19.937675,15929.717,Estonia,EST,233.0,233.0,Estonia,1536.65,14290.35179612025,EST,47120.0,3.297329601976126,Moderate
Ethiopia,ETH,37.86606,956.06244,Ethiopia,ETH,231.0,231.0,Ethiopia,1609.65,2203.689262832136,ETH,3050.0,1.3840426830778323,Not Affordable
Finland,FIN,12.264951,26828.486,Finland,FIN,246.0,246.0,Finland,1284.8,24822.78533805814,FIN,63710.0,2.566593520120412,Not Affordable
France,FRA,12.579948,24534.533,France,FRA,250.0,250.0,France,1339.55,22787.65150655716,FRA,61980.0,2.719894148906272,Moderate
United Kingdom,GBR,8.654823,28874.305,United Kingdom,GBR,826.0,826.0,United Kingdom of Great Britain and Northern Ireland,912.5,27287.78500976985,GBR,59630.0,2.1852268323959114,Not Affordable
Ghana,GHA,39.102108,1895.43,Ghana,GHA,288.0,288.0,Ghana,1565.85,2720.1269143356,GHA,7070.0,2.5991434306758703,Not Affordable
Greece,GRC,16.439177,17179.287,Greece,GRC,300.0,300.0,Greece,1518.4,15873.553602732009,GRC,41370.0,2.6062217090998314,Not Affordable
Guatemala,GTM,35.0941,5027.196,Guatemala,GTM,320.0,320.0,Guatemala,1744.7,5007.646808564,GTM,13490.0,2.6938800829422735,Not Affordable
Hong Kong,HKG,11.487468,34169.37,Hong Kong,HKG,344.0,344.0,"China, Hong Kong SAR",1741.05,31985.2245554484,HKG,77570.0,2.4251822858247416,Not Affordable
Honduras,HND,31.49428,2715.3096,Honduras,HND,340.0,340.0,Honduras,1693.6,3553.74239170912,HND,6640.0,1.8684528218733913,Not Affordable
Croatia,HRV,18.542738,16258.979,Croatia,HRV,191.0,191.0,Croatia,1649.8,14893.919122554978,HRV,47600.0,3.1959351738331754,Moderate
Hungary,HUN,16.811634,10900.143,Hungary,HUN,348.0,348.0,Hungary,1854.2,10921.850853363381,HUN,45160.0,4.134830314597547,Moderate
Indonesia,IDN,33.536575,2602.6975,Indonesia,IDN,360.0,360.0,Indonesia,1689.95,3419.791900889375,IDN,15010.0,4.38915595890393,Affordable
India,IND,29.86331,1504.4104,India,IND,356.0,356.0,India,1408.9,2464.0436585757598,IND,10180.0,4.131420303601331,Moderate
Ireland,IRL,8.577674,27941.268,Ireland,IRL,372.0,372.0,Ireland,1000.1,26544.657119493677,IRL,98760.0,3.7205227234776874,Moderate
Iran,IRN,27.903685,1607.3423,Iran,IRN,364.0,364.0,Iran (Islamic Republic of),1627.9,2786.734567736245,IRN,18880.0,6.7749545358878,Affordable
Iraq,IRQ,28.707914,2491.3542,Iraq,IRQ,368.0,368.0,Iraq,1449.0500000000002,3225.1883788286123,IRQ,14710.0,4.560973894288516,Affordable
Israel,ISR,15.759338,24258.799,Israel,ISR,376.0,376.0,Israel,1178.95,21614.72287084938,ISR,54860.0,2.538084819675701,Not Affordable
Italy,ITA,14.704657,23042.791,Italy,ITA,380.0,380.0,Italy,1445.4,21099.82762022313,ITA,59720.0,2.830354876584933,Moderate
Jordan,JOR,24.975618,3830.8274,Jordan,JOR,400.0,400.0,Jordan,1197.1999999999998,4071.254582336668,JOR,10330.0,2.537301411908063,Not Affordable
Japan,JPN,15.753787,18187.723,Japan,JPN,392.0,392.0,Japan,2660.85,17983.317858429993,JPN,53680.0,2.984988666862526,Moderate
Kazakhstan,KAZ,50.437447,6744.187,Kazakhstan,KAZ,398.0,398.0,Kazakhstan,1102.3,4444.89125629411,KAZ,34600.0,7.784217431867491,Affordable
Kenya,KEN,42.140427,1485.1353,Kenya,KEN,404.0,404.0,Kenya,1496.4999999999998,2355.7929430522686,KEN,6210.0,2.636055099118368,Not Affordable
Cambodia,KHM,40.74538,2203.829,Cambodia,KHM,116.0,116.0,Cambodia,1631.55,2937.4204993998,KHM,7260.0,2.4715562519848375,Not Affordable
South Korea,KOR,12.33084,16796.643,South Korea,KOR,410.0,410.0,Republic of Korea,2332.35,17057.8258262988,KOR,58260.0,3.4154411349527325,Moderate
