country_code,country_2020,cost_healthy_diet_ppp_usd_2020,annual_cost_healthy_diet_usd_2020,cost_category_2020,country_2022,cost_healthy_diet_ppp_usd_2022,annual_cost_healthy_diet_usd_2022,cost_category_2022,alpha-3,region,daily_price_change,yearly_price_change
8,Albania,3.4,1241.0,High Cost,Albania,4.14,1511.1,High Cost,ALB,Europe,0.74,270.0
12,Algeria,4.19,1529.35,High Cost,Algeria,5.01,1828.65,High Cost,DZA,Africa,0.82,299.0
24,Angola,3.7,1350.5,High Cost,Angola,4.55,1660.75,High Cost,AGO,Africa,0.85,310.0
28,Antigua and Barbuda,4.67,1704.55,High Cost,Antigua and Barbuda,5.46,1992.9,High Cost,ATG,Americas,0.79,288.0
51,Armenia,3.54,1292.1,High Cost,Armenia,4.27,1558.55,High Cost,ARM,Asia,0.73,266.0
533,Aruba,3.9,1423.5,High Cost,Aruba,4.5,1642.5,High Cost,ABW,Americas,0.6,219.0
36,Australia,2.51,916.15,Medium Cost,Australia,2.88,1051.2,Medium Cost,AUS,Oceania,0.37,135.0
40,Austria,2.3,839.4999999999999,Medium Cost,Austria,2.75,1003.75,Medium Cost,AUT,Europe,0.45,164.0
31,Azerbaijan,3.28,1197.1999999999998,High Cost,Azerbaijan,3.92,1430.8,High Cost,AZE,Asia,0.64,234.0
44,Bahamas,4.19,1529.35,High Cost,Bahamas,4.96,1810.4,High Cost,BHS,Americas,0.77,281.0
48,Bahrain,3.42,1248.3,High Cost,Bahrain,3.74,1365.1,High Cost,BHR,Asia,0.32,117.0
50,Bangladesh,3.61,1317.65,High Cost,Bangladesh,4.13,1507.45,High Cost,BGD,Asia,0.52,190.0
112,Belarus,3.22,1175.3000000000002,High Cost,Belarus,3.6,1314.0,High Cost,BLR,Europe,0.38,139.0
56,Belgium,2.28,832.1999999999999,Medium Cost,Belgium,2.49,908.85,Medium Cost,BEL,Europe,0.21,77.0
84,Belize,3.16,1153.4,High Cost,Belize,3.85,1405.25,High Cost,BLZ,Americas,0.69,252.0
204,Benin,2.9,1058.5,Medium Cost,Benin,3.25,1186.25,Medium Cost,BEN,Africa,0.35,128.0
60,Bermuda,3.33,1215.45,High Cost,Bermuda,3.96,1445.4,High Cost,BMU,Americas,0.63,230.0
64,Bhutan,4.86,1773.9,High Cost,Bhutan,5.48,2000.2,High Cost,BTN,Asia,0.62,226.0
68,Bolivia (Plurinational State of),3.78,1379.6999999999998,High Cost,Bolivia (Plurinational State of),4.3,1569.5,High Cost,BOL,Americas,0.52,190.0
70,Bosnia and Herzegovina,4.34,1584.1,High Cost,Bosnia and Herzegovina,5.48,2000.2,High Cost,BIH,Europe,1.14,416.0
72,Botswana,3.21,1171.65,High Cost,Botswana,3.62,1321.3,High Cost,BWA,Africa,0.41,150.0
76,Brazil,3.69,1346.85,High Cost,Brazil,4.39,1602.35,High Cost,BRA,Americas,0.7,256.0
92,British Virgin Islands,3.78,1379.6999999999998,High Cost,British Virgin Islands,4.78,1744.7,High Cost,VGB,Americas,1.0,365.0
96,Brunei Darussalam,4.55,1660.75,High Cost,Brunei Darussalam,5.32,1941.8,High Cost,BRN,Asia,0.77,281.0
100,Bulgaria,3.8,1387.0,High Cost,Bulgaria,4.72,1722.8,High Cost,BGR,Europe,0.92,336.0
854,Burkina Faso,2.8,1022.0,High Cost,Burkina Faso,3.48,1270.2,High Cost,BFA,Africa,0.68,248.0
108,Burundi,3.33,1215.45,High Cost,Burundi,4.0,1460.0,High Cost,BDI,Africa,0.67,245.0
132,Cabo Verde,2.83,1032.95,High Cost,Cabo Verde,3.38,1233.7,High Cost,CPV,Africa,0.55,201.0
116,Cambodia,3.84,1401.6,High Cost,Cambodia,4.25,1551.25,High Cost,KHM,Asia,0.41,150.0
120,Cameroon,3.1,1131.5,High Cost,Cameroon,3.9,1423.5,High Cost,CMR,Africa,0.8,292.0
124,Canada,3.33,1215.45,High Cost,Canada,3.92,1430.8,High Cost,CAN,Americas,0.59,215.0
136,Cayman Islands,3.81,1390.65,High Cost,Cayman Islands,4.33,1580.45,High Cost,CYM,Americas,0.52,190.0
140,Central African Republic,3.38,1233.7,High Cost,Central African Republic,3.92,1430.8,High Cost,CAF,Africa,0.54,197.0
148,Chad,2.95,1076.75,High Cost,Chad,3.49,1273.85,High Cost,TCD,Africa,0.54,197.0
152,Chile,3.79,1383.35,High Cost,Chile,4.42,1613.3,High Cost,CHL,Americas,0.63,230.0
344,"China, Hong Kong SAR",4.04,1474.6,High Cost,"China, Hong Kong SAR",4.65,1697.2500000000002,High Cost,HKG,Asia,0.61,223.0
156,"China, mainland",3.25,1186.25,High Cost,"China, mainland",3.41,1244.65,High Cost,CHN,Asia,0.16,58.0
170,Colombia,3.15,1149.75,High Cost,Colombia,4.06,1481.9,High Cost,COL,Americas,0.91,332.0
174,Comoros,4.49,1638.85,High Cost,Comoros,4.75,1733.75,High Cost,COM,Africa,0.26,95.0
178,Congo,3.43,1251.95,High Cost,Congo,4.16,1518.4,High Cost,COG,Africa,0.73,266.0
188,Costa Rica,3.56,1299.4,High Cost,Costa Rica,4.13,1507.45,High Cost,CRI,Americas,0.57,208.0
191,Croatia,3.53,1288.4499999999998,High Cost,Croatia,4.21,1536.65,High Cost,HRV,Europe,0.68,248.0
531,Curaçao,3.65,1332.25,High Cost,Curaçao,4.44,1620.6,High Cost,CUW,Americas,0.79,288.0
196,Cyprus,3.14,1146.1,High Cost,Cyprus,3.44,1255.6,High Cost,CYP,Asia,0.3,110.0
203,Czechia,3.0,1095.0,High Cost,Czechia,3.36,1226.4,High Cost,CZE,Europe,0.36,131.0
384,Côte d'Ivoire,2.73,996.45,High Cost,Côte d'Ivoire,3.25,1186.25,High Cost,CIV,Africa,0.52,190.0
180,Democratic Republic of the Congo,3.21,1171.65,Medium Cost,Democratic Republic of the Congo,3.38,1233.7,Medium Cost,COD,Africa,0.17,62.0
