Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Local Purchasing Power Index,country_code,cost_healthy_diet_ppp_usd,annual_cost_healthy_diet_usd,cost_category
Albania,36.39,8.55,23.07,28.39,29.56,8.0,4.58,1671.7,High Cost
Algeria,30.1,5.34,18.26,30.71,28.69,12.0,5.41,1974.65,High Cost
Azerbaijan,29.92,9.48,20.15,23.74,30.2,31.0,4.13,1507.45,High Cost
Australia,73.54,34.86,55.04,67.23,107.31,36.0,3.1,1131.5,Medium Cost
Austria,70.38,26.81,49.54,61.73,82.38,40.0,2.91,1062.15,Medium Cost
Bahamas,82.51,36.36,60.43,62.65,54.18,44.0,5.25,1916.25,High Cost
Bahrain,58.94,30.95,45.55,48.11,57.88,48.0,4.12,1503.8,High Cost
Bangladesh,32.25,5.01,19.22,29.72,33.21,50.0,4.33,1580.45,High Cost
Armenia,32.84,10.91,22.35,25.61,28.0,51.0,4.33,1580.45,High Cost
Belgium,71.78,25.43,49.61,58.66,86.28,56.0,2.77,1011.05,Medium Cost
Bolivia,34.56,10.93,23.26,28.09,39.34,68.0,4.57,1668.0500000000002,High Cost
Bosnia And Herzegovina,35.97,6.72,21.97,28.08,41.83,70.0,5.95,2171.75,High Cost
Botswana,39.13,11.12,25.73,31.74,58.1,72.0,4.01,1463.65,High Cost
Brazil,40.22,10.65,26.08,29.2,32.81,76.0,4.55,1660.75,High Cost
Belize,49.23,9.74,30.34,41.89,57.53,84.0,4.32,1576.8000000000002,High Cost
Brunei,44.71,23.08,34.36,37.11,86.95,96.0,5.67,2069.55,High Cost
Bulgaria,36.7,9.64,23.75,30.09,49.37,100.0,5.16,1883.4,High Cost
Myanmar,42.11,23.78,33.35,44.68,10.22,104.0,3.72,1357.8000000000002,Medium Cost
Belarus,34.7,10.5,23.13,28.06,37.0,112.0,3.72,1357.8000000000002,High Cost
Cambodia,47.49,14.9,31.9,44.56,11.29,116.0,4.47,1631.55,High Cost
Canada,67.62,30.73,49.98,63.68,95.09,124.0,4.27,1558.55,High Cost
Sri Lanka,31.61,7.74,20.2,35.09,24.45,144.0,4.89,1784.85,High Cost
